# 10-Minute Meditation Session
# Date: 2026-01-21T18:51:32.146497
# Duration: 600 seconds
# Samples: 29629
# Type: Guided meditation
#
timestamp_ms,thermistor,piezo,ir,red
13710,4095,149,207612,205143
13730,4095,176,207667,205171
13750,4095,159,207753,205209
13770,1808,147,207855,205230
13790,1820,139,207889,205231
13810,1815,120,207862,205220
13830,1812,122,207894,205230
13850,1817,120,207883,205222
13870,1815,127,207913,205238
13890,1808,115,207964,205265
13910,1810,103,207948,205217
13930,1817,95,207836,205153
13950,1812,96,207610,205061
13970,1835,76,207448,204968
13990,1815,103,207341,204948
14010,1831,93,207233,204897
14034,1831,194,207128,204856
14054,1835,184,207085,204785
14074,1816,184,207050,204783
14094,1837,182,206969,204735
14114,1823,159,206948,204708
14134,1828,159,206913,204692
14154,1824,172,206913,204668
14174,1835,143,206893,204655
14194,1819,146,206834,204635
14214,1817,147,206801,204561
14234,1820,123,206754,204565
14254,1839,133,206726,204530
14274,1832,104,206722,204519
14294,1820,102,206710,204526
14314,1835,112,206711,204512
14334,1837,90,206716,204501
14354,1847,95,206700,204475
14374,1829,96,206678,204473
14394,1827,95,206677,204439
14418,1832,211,206684,204466
14438,1831,223,206687,204453
14458,1828,179,206730,204454
14478,1831,184,206748,204459
14498,1832,182,206761,204466
14518,1831,167,206785,204488
14538,1835,173,206790,204502
14558,1832,150,206854,204497
14578,1832,152,206897,204536
14598,1851,134,206902,204518
14618,1836,131,206913,204527
14638,1847,128,206921,204534
14658,1836,128,206944,204544
14678,1843,128,206983,204561
14698,1853,112,206967,204554
14718,1854,103,206968,204542
14738,1838,91,206954,204523
14758,1836,103,206970,204562
14778,1840,103,207039,204579
14798,1839,91,207030,204552
14822,1847,223,206957,204514
14842,1834,208,206853,204430
14862,1844,176,206725,204416
14882,1856,175,206629,204394
14902,1840,167,206610,204372
14922,1856,159,206636,204398
14942,1844,167,206660,204402
14962,1844,136,206689,204429
14982,1844,139,206685,204423
15002,1851,136,206725,204426
15022,1855,127,206760,204429
15042,1857,128,206758,204438
15062,1849,127,206762,204441
15082,1859,123,206766,204433
15102,1856,97,206756,204426
15122,1863,111,206762,204423
15142,1859,98,206738,204415
15162,1850,89,206738,204394
15182,1872,74,206745,204409
15202,1871,88,206735,204409
15226,1852,211,206747,204410
15246,1856,191,206778,204400
15266,1855,205,206809,204431
15286,1852,185,206832,204423
15306,1858,158,206840,204444
15326,1858,183,206851,204438
15346,1862,143,206883,204453
15366,1871,134,206938,204467
15386,1832,159,206947,204479
15406,1856,135,206947,204455
15426,1865,112,206965,204487
15446,1863,139,207000,204492
15466,1879,104,207019,204492
15486,1871,100,207007,204503
15506,1856,123,207019,204489
15526,1871,96,207047,204495
15546,1863,101,207072,204518
15566,1875,83,207086,204518
15586,1875,76,207168,204542
15610,1865,200,207153,204512
15630,1859,201,207118,204510
15650,1852,187,207047,204481
15670,1864,176,206943,204442
15690,1871,167,206875,204397
15710,1851,171,206858,204420
15730,1870,171,206844,204428
15750,1867,153,206890,204424
15770,1842,135,206901,204441
15790,1840,145,206925,204443
15810,1840,122,206943,204451
