# 10-Minute Meditation Session (Glasses Wearable)
# Date: 2026-01-22T23:42:36.342036
# Duration: 600 seconds
# Samples: 29704
# Setup: Thermistor on glasses near nostrils
#
timestamp_ms,thermistor,piezo,ir,red
18853,1731,90,199142,189678
18873,1735,92,199158,189677
18893,1722,82,199209,189710
18913,1743,97,199197,189704
18933,1735,92,199203,189697
18953,1755,103,199241,189725
18973,1747,95,199245,189720
18993,1742,92,199228,189710
19013,1752,104,199146,189671
19033,1752,88,199080,189652
19053,1763,95,199018,189616
19073,1768,104,198969,189623
19093,1769,103,198941,189617
19113,1783,96,198941,189585
19133,1768,90,198926,189593
19153,1783,96,198912,189588
19173,1774,92,198902,189580
19197,1787,87,198888,189579
19217,1783,87,198881,189573
19237,1795,81,198931,189617
19257,1786,82,198945,189635
19277,1794,93,198985,189614
19297,1799,80,199003,189361
19317,1803,83,198976,189618
19337,1811,80,198988,189635
19357,1810,86,198995,189644
19377,1813,83,199012,189639
19397,1824,84,199036,189651
19417,1819,87,199018,189633
19437,1831,76,199031,189656
19457,1823,87,199068,189670
